0,1,2,3
NIC Ice Creams,Cupid Combo,₹508.47,This combo feels a lot like falling in love. It has Sea Salt ... read more
NIC Ice Creams,Adore Combo,₹309.32,This one is specially curated for the one you adore unconditionally. It has ... read more
NIC Ice Creams,Berry Much In Love,₹288.14,Rekindle your love with your soul mate with the Berry Much in Love ... read more
NIC Ice Creams,Gajar Halwa Ice Cream 500 ml,₹271.19,"Favourite traditional dessert, now in every bite if your scoop"
NIC Ice Creams,Roasted Almond Ice Cream 500ml,₹245.76,Roasted almonds is a must-have. Its crunchy texture with its singular flavour is ... read more
NIC Ice Creams,Cookies N Cream Ice Cream 500ml,₹245.76,Dedicated to lovers of cookies. A fun scoop of Oreo cookies in your ... read more
NIC Ice Creams,Alphonso Mango Ice Cream 500ml,₹245.76,The king of fruits adds a delightful flavour to your scoop. The perfect ... read more
NIC Ice Creams,Sea Salt Caramel Ice Cream 500ml,₹338.98,A decadent swirl of Mediterranean sea salt & crunch of crispy pearls ice ... read more
NIC Ice Creams,Paan Ice Cream 500ml,₹271.19,The tantalizing taste of paan meets the creamy goodness of our pure milk ... read more
NIC Ice Creams,Gulab Jamun Ice Cream 500ml,₹271.19,Now India's favourite Gulab Jamun in ice cream. Lose yourself in its rich ... read more
NIC Ice Creams,Anjeer Ice Cream 500ml,₹245.76,The smooth and creamy texture of Anjeer Ice Cream. Great for consuming anytime!
NIC Ice Creams,Jaggery Almond Ice Cream 500ml,₹271.19,Pure Jaggery and Crunchy Almond come together in this playful ice cream delight!
NIC Ice Creams,Kesar Pista Ice Cream 500ml,₹245.76,A perfect combination of divine richness. Relish the royal treat of Kesar and ... read more
NIC Ice Creams,Tender Coconut Ice Cream 500ml,₹245.76,"Relish the refreshing and fresh bites of  Tender Coconut, only in NIC's ... read more"
NIC Ice Creams,Chikoo Ice Cream 500 ml,₹245.76,
NIC Ice Creams,French Vanilla Ice Cream 500ml,₹296.61,"The world's favourite ice cream taste, it's plain but delicious"
NIC Ice Creams,Coffee Walnut Ice Cream 500ml,₹245.76,The distinctively bittersweet headiness of coffee crafted with nuttiness of walnut
NIC Ice Creams,Strawberry Cheesecake Ice Cream 500ml,₹338.98,"Super fruity, tangy, sweet and incredibly creamy - Nic's strawberry cheesecake variant contains ... read more"
NIC Ice Creams,Mixed Berries Ice Cream 500ml,₹296.61,"Crafted with imported Californian Cranberries, Blueberries and Strawberries. This ice cream is perfect ... read more"
NIC Ice Creams,Strawberry Ice Cream 500ml,₹245.76,"Creamy Milk Ice cream, infused with the freshness of hand picked strawberries."
NIC Ice Creams,Chocochips Ice Cream 500ml,₹245.76,"Melt in mouth chocolate chips in every spoon. Truly, a decadent ice cream ... read more"
NIC Ice Creams,Dryfruit Overload Ice Cream 500ml,₹296.61,"A scoop of Ice Cream Loaded with Cashews, Almonds, Pistas and Kishmishs. Needs ... read more"
NIC Ice Creams,Til Gud with Ravdi Ice Cream 100ml,₹67.80,Taste of sesame seed blended with jaggery; inspired by traditional festive treats
NIC Ice Creams,Gajar Halwa Ice Cream 100ML,₹67.80,"Favourite traditional dessert, now in every bite if your scoop"
NIC Ice Creams,Roasted Almond Ice Cream 100ml,₹63.56,Roasted almonds is a must-have. Its crunchy texture with its singular flavour is ... read more
NIC Ice Creams,Chocochips Ice Cream 100ml,₹63.56,"Melt in mouth chocolate chips in every spoon. Truly, a decadent ice cream ... read more"
NIC Ice Creams,Madagascar Chocolate Ice Cream 100ml,₹84.75,"Extra rich & smooth Madagascar Ice Cream, takes chocolate indulgence to a level ... read more"
NIC Ice Creams,Paan Ice Cream 100ml,₹67.80,The tantalizing taste of paan meets the creamy goodness of our pure milk ... read more
NIC Ice Creams,Dryfruit Overload Ice Cream 100ml,₹76.27,"A scoop of Ice Cream Loaded with Cashews, Almonds, Pistas and Kishmishs. Needs ... read more"
NIC Ice Creams,Alphonso Mango Ice Cream 100ml,₹63.56,The king of fruits adds a delightful flavour to your scoop. The perfect ... read more
NIC Ice Creams,Mixed Berries Ice Cream 100ml,₹76.27,"Crafted with imported Californian Cranberries, Blueberries and Strawberries. This ice cream is perfect ... read more"
NIC Ice Creams,Sea Salt Caramel Ice Cream 100ml,₹84.75,A decadent swirl of Mediterranean sea salt & crunch of crispy pearls ice ... read more
NIC Ice Creams,Strawberry Ice Cream 100ml,₹63.56,"Creamy Milk Ice cream, infused with the freshness of hand picked strawberries."
NIC Ice Creams,Chikoo Ice Cream 100 ml,₹63.56,
NIC Ice Creams,Tender Coconut Ice Cream 100ml,₹63.56,"Relish the refreshing and fresh bites of Tender Coconut, only in NIC's Tender ... read more"
NIC Ice Creams,Gulab Jamun Ice Cream 100ml,₹67.80,Now India's favourite Gulab Jamun in ice cream. Lose yourself in its rich ... read more
NIC Ice Creams,Apricot Ice Cream 100ml,₹76.27,Dive into the premium taste of Imported Apricot Ice Cream
NIC Ice Creams,Anjeer Ice Cream 100ml,₹63.56,The smooth and creamy texture of Anjeer Ice Cream. Great for consuming anytime!
NIC Ice Creams,French Vanilla Ice Cream 100ml,₹76.27,"The world's favourite ice cream taste, it's plain but delicious"
NIC Ice Creams,Coffee Walnut Ice Cream 100ml,₹63.56,The distinctively bittersweet headiness of coffee crafted with nuttiness of walnut
NIC Ice Creams,Strawberry Cheesecake Ice Cream 100ml,₹84.75,"Super fruity, tangy, sweet and incredibly creamy - Nic's strawberry cheesecake variant contains ... read more"
NIC Ice Creams,Belgian Chocolate Ice Cream 100ml,₹84.75,
NIC Ice Creams,Chocochips Ice Cream 750ml,₹313.56,"Melt in mouth chocolate chips in every spoon. Truly, a decadent ice cream ... read more"
NIC Ice Creams,Madagascar Chocolate Ice Cream 750ml,₹423.73,"Extra rich & smooth Madagascar Ice Cream, takes chocolate indulgence to a level ... read more"
NIC Ice Creams,Tender Coconut Ice Cream 750ml,₹313.56,"Relish the refreshing and fresh bites of  Tender Coconut, only in NIC's ... read more"
NIC Ice Creams,Stick Malai Kulfi,₹50.85,"The all-time favorite Desi Ice Cream - Malai Stick Kulfi, is here to ... read more"
NIC Ice Creams,Stick Gulkand Kulfi,₹50.85,Taste the aromatic sweetness of Gulkand in every bite
NIC Ice Creams,Stick Jaggery Almond Kulfi,₹50.85,Made from Jaggery and almond give into its unique & tantalizing taste.
NIC Ice Creams,Stick Kesar Pista Kulfi,₹50.85,"With the crunch of pistas & rich, the rich aroma of saffron this ... read more"
NIC Ice Creams,Stick Paan Kulfi,₹50.85,Tradition meets innovation. This combination made for Indian hearts and palates.
NIC Ice Creams,Roasted Almond Ice Cream (No Added Sugar) 100ml,₹76.27,"A crunchy delight that leaves you pining for now, now available in a ... read more"
NIC Ice Creams,Tender Coconut Ice Cream (No Added Sugar) 100ml,₹76.27,"One of the most sought-after flavors, this pure fruit-based delight now comes with ... read more"
NIC Ice Creams,Roasted Almond Ice Cream (No Added Sugar) 500ml,₹296.61,"A crunchy delight that leaves you pining for now, now available in a ... read more"
NIC Ice Creams,Tender Coconut Ice Cream (No Added Sugar) 500ml,₹296.61,"One of the most sought-after flavors, this pure fruit-based delight now comes with ... read more"
NIC Ice Creams,Anjeer Ice Cream (No Added Sugar) 500ml,₹296.61,"A soft, creamy dry fruit wonder, now powered with the goodness of sugar ... read more"
KFC,Chicken Chizza & Choco Lava Combo,₹479.05,"Favorite combo of chicken Chizza, Choco Lava & Pepsi PET 500ml [serves 2]"
KFC,Chicken Chizza,₹299.05,"Crunchy chicken topped with cheese, spicy sauce, veggies & herbs. All-chicken-no-crust pizza!"
KFC,Duo Chicken Chizza,₹588.57,2 Chicken Chizzas at a deal price [serves 2-3]
KFC,Ultimate Savings Bucket,₹699.05,"Save 33% on our signature bucket of 4pc Hot & crispy chicken, 6 ... read more"
KFC,Chicken & Krispers Combo,₹519.05,"Deal combo of 2 chicken value burgers, 2 pc Hot & Crispy, 2 ... read more"
KFC,Super Snacker Combo,₹450.48,"Best of snacks with a Medium Popcorn, 4 strips, 1 dip & a ... read more"
KFC,Hot Chicken Wings -4pc,₹164.76,"Seasoned, signature KFC chicken wings"
KFC,Peri Peri 5 Leg Pc & 2 Dips,₹515.24,"5 Spicy Peri Peri Leg Pieces, paired with 2 delicous dips( 20gm each) ... read more"
KFC,Chicken Popcorn -Large,₹228.57,"Signature bite-sized boneless chicken, with special spices"
KFC,Peri Peri 10 Leg Pc & 4 Dips,₹924.76,Leg before any wicket! Save 27% on 10 Spicy Peri Peri Leg Pieces ... read more
KFC,Big 12 Bucket,₹719.05,"Save 28% on 6pc Hot & Crispy Chicken, 6 Hot Wings & 2 ... read more"
KFC,Popcorn Chicken Biryani Bucket,₹229.52,New Hyderabadi style Biryani rice served with signature Popcorn & a Spicy Gravy ... read more
KFC,Peri Peri 6pc Chicken Strips,₹279.05,6 Spicy Peri Peri chicken boneless strips [serves 2]
KFC,Chicken Mingles Bucket,₹339.05,"Save 13% on this mingle of 4 Wings, 2 Strips & a Reg ... read more"
KFC,Chicken Popcorn -Medium,₹164.76,"Signature bite-sized boneless chicken, with special spices"
KFC,2 pc Hot & Crispy Chicken,₹229.52,Signature Hot & crispy chicken
KFC,Tandoori Zinger Burger,₹199.05,Chicken zinger with a  delicious tandoori sauce
KFC,Classic Zinger,₹189.52,"Signature chicken burger made with a crunchy chicken fillet, veggies & a delicious ... read more"
KFC,6pc Hot & Crispy with Dynamite Sauce,₹779,6pc Hot & Crispy Chicken paired with our new Dynamite Spicy Mayo Sauce ... read more
KFC,Peri Peri 5 Leg Pc Meal,₹628.57,"5 Spicy Peri Peri Leg Pieces, 2 Dips (20gm each), 1 Med Fries ... read more"
KFC,Hot & Crispy Chicken -6 pc,₹619.05,Flat 10% off on 6pc signature Hot & crispy chicken [serves 2-3]
KFC,Chicken Popcorn -Regular,₹115.24,"Signature bite-sized boneless chicken, with special spices"
KFC,Veg Zinger Burger,₹179.05,"Signature veg burger with crispy patties, veggies & a tangy sauce"
KFC,Mixed Zinger Doubles,₹348.57,Best-seller combo of classic chicken zinger & tandoori zinger
KFC,Popcorn & Fries bucket,₹319.05,Large Chicken Popcorn with Med Fries - at a deal price
KFC,Chick’n Wings Combo,₹450.48,"Enjoy 2pc Hot & Crispy Chicken, 4 wings , 2 dips & a ... read more"
KFC,Chick'n Strips Solo Combo,₹419.05,"Go solo with 1 pc Hot & Crispy, 3 strips, Medium Fries & ... read more"
KFC,Family Feast,₹828.57,"Family Deal of 3 chicken zingers, a medium popcorn, medium fries & a ... read more"
KFC,Wednesday Strips Bucket,₹350.48,Flat 55% off on 12 pc chicken Peri Peri Boneless Strips served with ... read more
KFC,Wednesday Bucket,₹699.05,Wednesday Special 10 pc Hot & Crispy
KFC,French Fries -Medium,₹99.05,Jazz up your meal with Crispy Fries!
KFC,2 Chicken Krisper Burgers,₹228.57,2 Delicious chicken value burgers - at a deal price
KFC,Big 8,₹684.76,Save 29% on this variety bucket of 4pc Hot & Crispy chicken & ... read more
KFC,Mingles Bucket Meal,₹479.05,"Save Rs. 71 on this crowd favorite combo of 4 Hot Wings, 2 ... read more"
KFC,2 pc Veg Patty,₹155.24,"Delicious, crispy, veg add-on"
KFC,French Fries -Large,₹119.05,Jazz up your meal with crispy large fries!
KFC,Wednesday Bucket,₹699.05,Wednesday Special 10 pc Hot & Crispy
KFC,Wednesday Strips Bucket,₹350.48,Flat 55% off on 12 pc chicken Peri Peri Boneless Strips served with ... read more
KFC,Classic Biryani Combo,₹740,"Large portions of our new Hyderabadi style Biryani rice, served with 2 pc ... read more"
KFC,Smoky Red Grilled Chicken Biryani Combo,₹740,"Large portions of our new Hyderabadi style Biryani rice, served with 2 pc ... read more"
KFC,Stay Home Bucket,₹788.57,"Save 22% & enjoy 4pc Hot & Crispy Chicken, 4 Hot Wings, 6 ... read more"
KFC,Bucket for Two,₹599.05,Flat Rs. 64 off with this variety combo of 2pc Hot & Crispy ... read more
KFC,Family Feast,₹828.57,"Family Deal of 3 chicken zingers, a medium popcorn, medium fries & a ... read more"
KFC,Friendship Bucket with Dynamite Sauce,₹879.05,"3pc Hot & Crispy, 3 Wings, 3 Strips, Large Popcorn & our new ... read more"
KFC,Friendship Bucket with Nashville Sauce,₹879.05,"3pc Hot & Crispy, 3 Wings, 3 Strips, Large Popcorn & our new ... read more"
KFC,Mingles Bucket Meal,₹479.05,"Save Rs. 71 on this crowd favorite combo of 4 Hot Wings, 2 ... read more"
KFC,Mega Feast,₹759.04,"Feast up with 2 Hot & Crispy, 2 Smoky Red Chicken, 1 Bun, ... read more"
KFC,6pc Hot & Crispy with Dynamite Sauce,₹779,6pc Hot & Crispy Chicken paired with our new Dynamite Spicy Mayo Sauce ... read more
KFC,6pc Hot & Crispy with Nashville Sauce,₹779,6pc Hot & Crispy Chicken paired with our new Nashville Hot Pepper Sauce ... read more
KFC,Peri Peri 10 Strips with Dynamite,₹639.05,10 Spicy Peri Peri chicken boneless strips & our Dynaite Mayo Sauce Bottle ... read more
KFC,Peri Peri 10 Strips with Nashville,₹639.05,10 Spicy Peri Peri chicken boneless strips & our Nashville Hot Sauce Bottle ... read more
KFC,Peri Peri 10 Leg Pc & 4 Dips,₹924.76,Leg before any wicket! Save 27% on 10 Spicy Peri Peri Leg Pieces ... read more
KFC,Peri Peri 5 Leg Pc Meal,₹628.57,"5 Spicy Peri Peri Leg Pieces, 2 Dips (20gm each), 1 Med Fries ... read more"
KFC,Peri Peri 5 Leg Pc & 2 Dips,₹515.24,"5 Spicy Peri Peri Leg Pieces, paired with 2 delicous dips( 20gm each) ... read more"
KFC,Peri Peri 6pc Chicken Strips,₹279.05,6 Spicy Peri Peri chicken boneless strips [serves 2]
KFC,Ultimate Savings Bucket,₹699.05,"Save 33% on our signature bucket of 4pc Hot & crispy chicken, 6 ... read more"
KFC,Big 12 Bucket,₹719.05,"Save 28% on 6pc Hot & Crispy Chicken, 6 Hot Wings & 2 ... read more"
KFC,Big 8,₹684.76,Save 29% on this variety bucket of 4pc Hot & Crispy chicken & ... read more
KFC,Hot & Crispy Chicken -8 pcs,₹748.57,Save Rs. 182  & get 8pc signature Hot & crispy chicken [serves ... read more
KFC,Hot & Crispy Chicken -6 pc,₹619.05,Flat 10% off on 6pc signature Hot & crispy chicken [serves 2-3]
KFC,Smoky Red Grilled Chicken -5pc,₹499.05,Flat 20% off on 5pc Smoky red grilled chicken [serves 2]
KFC,Chicken Chizza & Fries Combo,₹448.57,"Delicious combo of Chicken Chizza, Medium Fries & Pepsi PET 500ml [serves 2]"
KFC,Chicken Chizza,₹299.05,"Crunchy chicken topped with cheese, spicy sauce, veggies & herbs. All-chicken-no-crust pizza!"
KFC,Chicken Chizza & Choco Lava Combo,₹479.05,"Favorite combo of chicken Chizza, Choco Lava & Pepsi PET 500ml [serves 2]"
KFC,Duo Chicken Chizza,₹588.57,2 Chicken Chizzas at a deal price [serves 2-3]
KFC,Classic Chicken Biryani Bucket -Large,₹475.24,Large portions of our new Hyderabadi style Biryani rice served with 2 pc ... read more
KFC,Popcorn Chicken Biryani Bucket -Large,₹475.24,Large portions of our new Hyderabadi style Biryani rice served with double portions ... read more
KFC,Smoky Red Grilled Chicken Biryani Bucket -Large,₹475.24,Large portions of our new Hyderabadi style Biryani rice served with 2 pc ... read more
KFC,Classic Chicken Biryani Bucket,₹229.52,New Hyderabadi style Biryani rice served with 1 pc Hot & Crispy Chicken ... read more
KFC,Popcorn Chicken Biryani Bucket,₹229.52,New Hyderabadi style Biryani rice served with signature Popcorn & a Spicy Gravy ... read more
KFC,Smoky Grilled Biryani Bucket,₹229.52,New Hyderabadi style Biryani rice served with 1 pc Smoky Red Chicken & ... read more
KFC,Veg Biryani Bucket,₹188.57,New Hyderabadi style Biryani rice served with a crispy Veg Patty & a ... read more
KFC,Buddy Meal,₹499.05,Share 2 Classic Chicken Zingers & a  Medium Popcorn in this delightful ... read more
KFC,Chicken & Krispers Combo,₹519.05,"Deal combo of 2 chicken value burgers, 2 pc Hot & Crispy, 2 ... read more"
KFC,Mixed Zinger Doubles,₹348.57,Best-seller combo of classic chicken zinger & tandoori zinger
KFC,Classic Zinger Meal,₹344.76,"Favorite combo of Classic Zinger Burger, Medium Fries & a chilled Pepsi Black"
KFC,Tandoori Zinger Burger,₹199.05,Chicken zinger with a  delicious tandoori sauce
KFC,Classic Zinger,₹189.52,"Signature chicken burger made with a crunchy chicken fillet, veggies & a delicious ... read more"
KFC,2 Chicken Krisper Burgers,₹228.57,2 Delicious chicken value burgers - at a deal price
KFC,2 Veg Krisper Burgers,₹158.10,2 Delicious veg value burgers - at a deal price
KFC,2 Veg Krispers Meal,₹268.57,"2 Veg value burgers, crispy medium fries & 2 delicious dips (20gm each) ... read more"
KFC,Veg Zinger Burger,₹179.05,"Signature veg burger with crispy patties, veggies & a tangy sauce"
KFC,Chicken Mingles Bucket,₹339.05,"Save 13% on this mingle of 4 Wings, 2 Strips & a Reg ... read more"
KFC,Strips & Rice Combo,₹359.06,"4 chicken peri peri boneless strips, 1 Dips (20gm), flavorful Rice & Gravy ... read more"
KFC,Chick’n Wings Combo,₹450.48,"Enjoy 2pc Hot & Crispy Chicken, 4 wings , 2 dips & a ... read more"
KFC,Super Snacker Combo,₹450.48,"Best of snacks with a Medium Popcorn, 4 strips, 1 dip & a ... read more"
KFC,Solo Feast,₹399.05,"Treat yourself with 1 Hot & Crispy, 2 chicken peri peri boneless strips, ... read more"
KFC,Chicken & Fries Bucket,₹299.05,Crowd-favorite combo of 2pc Hot & Crispy chicken with Medium Fries
KFC,Chick'n Strips Solo Combo,₹419.05,"Go solo with 1 pc Hot & Crispy, 3 strips, Medium Fries & ... read more"
KFC,Hot & Crispy Chicken -4pc,₹428.57,4 pcs of  signature Hot & crispy chicken at a deal price
KFC,Popcorn & Fries bucket,₹319.05,Large Chicken Popcorn with Med Fries - at a deal price
KFC,Chicken Popcorn -Large,₹228.57,"Signature bite-sized boneless chicken, with special spices"
KFC,Biryani Rice,₹139.04,Flavorful aromatic rice to pair with your KFC favorites
KFC,Chicken Popcorn -Medium,₹164.76,"Signature bite-sized boneless chicken, with special spices"
KFC,Chicken Popcorn -Regular,₹115.24,"Signature bite-sized boneless chicken, with special spices"
KFC,2 pc Hot & Crispy Chicken,₹229.52,Signature Hot & crispy chicken
KFC,Smoky Red Grilled Chicken -2 pcs,₹248.57,"Spicy, red, grilled chicken"
KFC,Hot Chicken Wings -4pc,₹164.76,"Seasoned, signature KFC chicken wings"
KFC,Hot & Crispy Chicken -1pc,₹115.24,Signature Hot & crispy chicken
KFC,1 pc Smoky Red Chicken,₹124.76,"Spicy, red, grilled chicken"
KFC,Peri Peri 3pc Chicken Strips,₹175.24,3 Spicy Peri Peri chicken strips
KFC,2 pc Veg Patty,₹155.24,"Delicious, crispy, veg add-on"
KFC,Choco Mud Pie,₹128.57,"Chocolate lovers unite! Say hello to our delicous, new, creamy chocolate & cake ... read more"
KFC,Chocolate Lava Cake,₹108.57,New Soft Chocolate cake with a gooey center- perfect chocolaty end to every ... read more
KFC,Coffee Mousse Cake,₹128.57,"Coffee, chocolate, cakeàwhat's not to love? Enjoy our delicious, new dessert for those ... read more"
KFC,Tandoori Masala Dip,₹28.57,Special tandoori flavor dip to add a twist to your meal (20gm)
KFC,Pack of 4 Dips,₹109.52,Adding dips is always a good idea (20gm each)
KFC,Pack of 2 Dip,₹57.14,Adding dips is always a good idea (20gm each)
KFC,French Fries -Large,₹119.05,Jazz up your meal with crispy large fries!
KFC,French Fries -Medium,₹99.05,Jazz up your meal with Crispy Fries!
KFC,Pepsi PET 500ml,₹57.14,Pepsi PET 500ml
KFC,Pepsi Can 330 ml,₹57.10,Pepsi Can 330 ml
KFC,7UP Can 330 ml,₹57.10,7UP Can 330 ml
KFC,Pepsi Black Can 330 ml,₹57.10,Pepsi Black Can 330 ml
KFC,Mirinda Can 330 ml,₹57.10,Mirinda Can 330 ml
New Dhaba Shere-Punjab Pure Veg Restaurant,Paneer Butter Masala with 2 Butter Naan Combo,₹209,A flavor packed preparation with soft paneer cubes simmered in a thick gravy ... read more
New Dhaba Shere-Punjab Pure Veg Restaurant,Paneer Butter Masala,₹189,A flavored packed preparation with soft paneer cubes simmred in a thick gravy.
New Dhaba Shere-Punjab Pure Veg Restaurant,Butter Naan,₹39,
New Dhaba Shere-Punjab Pure Veg Restaurant,Mushroom Masala with 4 Butter Phulka Combo,₹189,
New Dhaba Shere-Punjab Pure Veg Restaurant,Veg Manchurian with Special Veg Fried Rice & Punjabi Lassi Combo,₹269,
New Dhaba Shere-Punjab Pure Veg Restaurant,Kadhai Paneer,₹189,A  creamy indulgence made by cooking paneer cubes in a tomato gravy ... read more
New Dhaba Shere-Punjab Pure Veg Restaurant,Chana Masala with 4 Butter Phulka Combo,₹179,
New Dhaba Shere-Punjab Pure Veg Restaurant,Dal Tadka,₹139,
New Dhaba Shere-Punjab Pure Veg Restaurant,Methi Chaman with 2 Butter Naan Combo,₹219,
New Dhaba Shere-Punjab Pure Veg Restaurant,Paneer Fried Rice,₹199,
New Dhaba Shere-Punjab Pure Veg Restaurant,Veg Fried Rice,₹149,"A flavorful dish prepared from stir-fried vegetables & rice,  served with raita"
New Dhaba Shere-Punjab Pure Veg Restaurant,Chana Masala,₹139,
New Dhaba Shere-Punjab Pure Veg Restaurant,Phulka,₹17,
New Dhaba Shere-Punjab Pure Veg Restaurant,Paneer Do Pyaza [Serves 2],₹189,Served with salad & chutney.
New Dhaba Shere-Punjab Pure Veg Restaurant,Veg Biryani,₹169,Rice & veggies cooked in a fragrant and flavorful masala seasoned with Indian ... read more
New Dhaba Shere-Punjab Pure Veg Restaurant,Shahi Paneer,₹189,
New Dhaba Shere-Punjab Pure Veg Restaurant,Mix Veg Dry,₹149,
New Dhaba Shere-Punjab Pure Veg Restaurant,Mushroom Masala,₹159,
New Dhaba Shere-Punjab Pure Veg Restaurant,Mix Veg Curry,₹159,A delicious combo of vegetables cooked in low flame with Indian spices.
New Dhaba Shere-Punjab Pure Veg Restaurant,Jeera Rice,₹139,
New Dhaba Shere-Punjab Pure Veg Restaurant,Matar Paneer,₹159,
New Dhaba Shere-Punjab Pure Veg Restaurant,Tandoori Roti,₹24,
New Dhaba Shere-Punjab Pure Veg Restaurant,Malai Kofta [Serves 2],₹199,Served with salad and chutney.
New Dhaba Shere-Punjab Pure Veg Restaurant,Veg Manchurian Gravy,₹159,
New Dhaba Shere-Punjab Pure Veg Restaurant,Garlic Naan,₹44,
New Dhaba Shere-Punjab Pure Veg Restaurant,Kadhai Veg,₹159,
New Dhaba Shere-Punjab Pure Veg Restaurant,Butter Phulka,₹23,
New Dhaba Shere-Punjab Pure Veg Restaurant,Paneer Masala,₹189,
New Dhaba Shere-Punjab Pure Veg Restaurant,Aloo Gobi Matar with 4 Butter Phulka Combo,₹179,
New Dhaba Shere-Punjab Pure Veg Restaurant,Gobi Manchurian Gravy,₹159,
New Dhaba Shere-Punjab Pure Veg Restaurant,Chana Masala with 4 Butter Phulka Combo,₹179,
New Dhaba Shere-Punjab Pure Veg Restaurant,Aloo Korma with 4 Butter Phulka Combo,₹179,
New Dhaba Shere-Punjab Pure Veg Restaurant,Aloo Gobi Matar with 4 Butter Phulka Combo,₹179,
New Dhaba Shere-Punjab Pure Veg Restaurant,Mushroom Masala with 4 Butter Phulka Combo,₹189,
